"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,16,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung","AT.BU.EU",0," ","Berzirk","District"," "," "
2,16,"AUT","Austria",1,"Burgenland",2,"Eisenstadt","AT.BU.ES",0," ","Statutarstadt","Statutory City"," "," "
3,16,"AUT","Austria",1,"Burgenland",3,"Güssing","AT.BU.GS",0," ","Berzirk","District"," "," "
4,16,"AUT","Austria",1,"Burgenland",4,"Jennersdorf","AT.BU.JE",0," ","Berzirk","District"," "," "
5,16,"AUT","Austria",1,"Burgenland",5,"Mattersburg","AT.BU.MA",0," ","Berzirk","District"," "," "
6,16,"AUT","Austria",1,"Burgenland",6,"Neusiedl am See","AT.BU.ND",0," ","Berzirk","District"," "," "
7,16,"AUT","Austria",1,"Burgenland",7,"Oberpullendorf","AT.BU.OP",0," ","Berzirk","District"," "," "
8,16,"AUT","Austria",1,"Burgenland",8,"Oberwart","AT.BU.OW",0," ","Berzirk","District"," "," "
9,16,"AUT","Austria",1,"Burgenland",9,"Rust","AT.BU.RU",0," ","Statutarstadt","Statutory City"," "," "
10,16,"AUT","Austria",2,"Kärnten",10,"Feldkirchen","AT.KA.FE",0," ","Berzirk","District"," "," "
11,16,"AUT","Austria",2,"Kärnten",11,"Hermagor","AT.KA.HE",0," ","Berzirk","District"," "," "
12,16,"AUT","Austria",2,"Kärnten",12,"Klagenfurt Land","AT.KA.KL",0," ","Berzirk","District"," "," "
13,16,"AUT","Austria",2,"Kärnten",13,"Klagenfurt","AT.KA.KG",0," ","Statutarstadt","Statutory City"," "," "
14,16,"AUT","Austria",2,"Kärnten",14,"Sankt Veit an der Glan","AT.KA.SV",0," ","Berzirk","District"," "," "
15,16,"AUT","Austria",2,"Kärnten",15,"Spittal an der Drau","AT.KA.SP",0," ","Berzirk","District"," "," "
16,16,"AUT","Austria",2,"Kärnten",16,"Völkermarkt","AT.KA.VK",0," ","Berzirk","District"," "," "
17,16,"AUT","Austria",2,"Kärnten",17,"Villach Land","AT.KA.VL",0," ","Berzirk","District"," "," "
18,16,"AUT","Austria",2,"Kärnten",18,"Villach","AT.KA.VI",0," ","Statutarstadt","Statutory City"," "," "
19,16,"AUT","Austria",2,"Kärnten",19,"Wolfsberg","AT.KA.WO",0," ","Berzirk","District"," "," "
20,16,"AUT","Austria",3,"Niederösterreich",20,"Amstetten","AT.NO.AM",0," ","Berzirk","District"," "," "
21,16,"AUT","Austria",3,"Niederösterreich",21,"Baden","AT.NO.BN",0," ","Berzirk","District"," "," "
22,16,"AUT","Austria",3,"Niederösterreich",22,"Bruck an der Leitha","AT.NO.BL",0," ","Berzirk","District"," "," "
23,16,"AUT","Austria",3,"Niederösterreich",23,"Gänserndorf","AT.NO.GF",0," ","Berzirk","District"," "," "
24,16,"AUT","Austria",3,"Niederösterreich",24,"Gmünd","AT.NO.GD",0," ","Berzirk","District"," "," "
25,16,"AUT","Austria",3,"Niederösterreich",25,"Hollabrunn","AT.NO.HL",0," ","Berzirk","District"," "," "
26,16,"AUT","Austria",3,"Niederösterreich",26,"Horn","AT.NO.HO",0," ","Berzirk","District"," "," "
27,16,"AUT","Austria",3,"Niederösterreich",27,"Korneuburg","AT.NO.KO",0," ","Berzirk","District"," "," "
28,16,"AUT","Austria",3,"Niederösterreich",28,"Krems an der Donau Land","AT.NO.KR",0," ","Berzirk","District"," "," "
29,16,"AUT","Austria",3,"Niederösterreich",29,"Krems an der Donau Stadt","AT.NO.KS",0," ","Berzirk","District"," "," "
30,16,"AUT","Austria",3,"Niederösterreich",30,"Lilienfeld","AT.NO.LF",0," ","Berzirk","District"," "," "
31,16,"AUT","Austria",3,"Niederösterreich",31,"Mödling","AT.NO.MD",0," ","Berzirk","District"," "," "
32,16,"AUT","Austria",3,"Niederösterreich",32,"Melk","AT.NO.ME",0," ","Berzirk","District"," "," "
33,16,"AUT","Austria",3,"Niederösterreich",33,"Mistelbach","AT.NO.MI",0," ","Berzirk","District"," "," "
